"ResidentID","HouseholdBookID","IDIssueDate","IDIssuePlace","FullName","Alias","DateOfBirth","PlaceOfBirth","Hometown","Ethnicity","Occupation","Workplace","PermanentRegistrationDate","PermanentResidentAddress","IsDead"
"00000000011","000000006","2022-08-23","Cục cảnh sát quản lý về trật tự xã hội","Nhàn Efrain",,"1988-05-21","Kiên Giang","Lai Châu","Hoa",,,"2006-12-11","Số 7 tổ dân phố 7 phường La Khê","false"
"00000000012","000000006","2022-12-31","Cục cảnh sát quản lý về trật tự xã hội","Nhàn Phan",,"2011-10-29","Hà Nội","Hà Nội","Hoa",,,"2024-08-12","Số 7 tổ dân phố 7 phường La Khê","false"
"00000000013","000000007","2024-02-21","Cục cảnh sát quản lý về trật tự xã hội","Vương Carey",,"1996-08-26","Bạc Liêu","Tây Ninh","Gia Rai",,,"2024-12-09","Số 8 tổ dân phố 7 phường La Khê","false"
"00000000014","000000007","2024-08-20","Cục cảnh sát quản lý về trật tự xã hội","Vương Lê",,"2018-02-14","Hà Nội","Hà Nội","Gia Rai",,,"2024-12-10","Số 8 tổ dân phố 7 phường La Khê","false"
"00000000015","000000007","2024-04-19","Cục cảnh sát quản lý về trật tự xã hội","Vương Đặng",,"2017-03-15","Hà Nội","Hà Nội","Gia Rai",,,"2024-12-10","Số 8 tổ dân phố 7 phường La Khê","false"
"00000000016","000000008","2022-01-22","Cục cảnh sát quản lý về trật tự xã hội","Mai Van",,"1979-05-15","Quảng Bình","Phú Thọ","Hoa",,,"2020-10-06","Số 9 tổ dân phố 7 phường La Khê","false"
"00000000017","000000009","2023-01-08","Cục cảnh sát quản lý về trật tự xã hội","Hà Phú Thắm Khang",,"1960-02-08","Tây Ninh","Kiên Giang","Thái",,,"1964-03-08","79128 Nhàn Cove, Bình Thuận, SC UT7E 7HZ","false"
"00000000018","000000010","2024-02-28","Cục cảnh sát quản lý về trật tự xã hội","Đào Donovan",,"1968-11-08","Lai Châu","Hà Tây","Kinh",,,"2024-12-09","Số 11 tổ dân phố 7 phường La Khê","false"
"00000000019","000000010","2024-06-04","Cục cảnh sát quản lý về trật tự xã hội","Đào Phạm",,"1991-10-28","Hà Nội","Hà Nội","Kinh",,,"2024-12-26","Số 11 tổ dân phố 7 phường La Khê","false"
"00000000020","000000010","2024-02-28","Cục cảnh sát quản lý về trật tự xã hội","Đào Đoàn",,"1990-01-30","Hà Nội","Hà Nội","Kinh",,,"2024-12-31","Số 11 tổ dân phố 7 phường La Khê","false"
"00000000021","000000011","2022-11-26","Cục cảnh sát quản lý về trật tự xã hội","Phạm Hồ",,"1986-08-05","Vĩnh Long","Lâm Đồng","Mường",,,"2023-06-22","9103 Phạm Fords, An Giang, WI 83E 6PE","false"
"00000000022","000000012","2023-05-18","Cục cảnh sát quản lý về trật tự xã hội","Đỗ Vân Trần",,"1990-05-14","Quảng Ninh","Phú Thọ","Kinh",,,"1994-05-23","08291 Hoàng Ranch, An Giang, DE Y08 9BS","false"
"00000000023","000000013","2022-05-22","Cục cảnh sát quản lý về trật tự xã hội","Tiến Scott",,"1951-06-10","Quảng Nam","Cao Bằng","Dao",,,"2021-08-03","Số 14 tổ dân phố 7 phường La Khê","false"
"00000000024","000000013","2024-04-13","Cục cảnh sát quản lý về trật tự xã hội","Nam Mahalia",,"1951-08-28","Thanh Hóa","Thái Nguyên","Dao",,,"2024-03-17","Số 14 tổ dân phố 7 phường La Khê","true"
"00000000025","000000013","2024-05-19","Cục cảnh sát quản lý về trật tự xã hội","Tiến Phan",,"1973-04-13","Hà Nội","Hà Nội","Dao",,,"2024-03-25","Số 14 tổ dân phố 7 phường La Khê","false"
"00000000026","000000014","2022-05-16","Cục cảnh sát quản lý về trật tự xã hội","Hoàng Eduardo",,"1952-05-03","Tây Ninh","Cà Mau","Nùng",,,"2010-06-24","Số 15 tổ dân phố 7 phường La Khê","false"
"00000000027","000000014","2023-09-23","Cục cảnh sát quản lý về trật tự xã hội","Hoàng Hoàng",,"1974-07-07","Hà Nội","Hà Nội","Nùng",,,"2016-07-14","Số 15 tổ dân phố 7 phường La Khê","true"
"00000000028","000000015","2022-11-14","Cục cảnh sát quản lý về trật tự xã hội","Thảo Andrew",,"1955-04-28","Vĩnh Long","Bà Rịa Vũng Tàu","Ê Đê",,,"1995-08-08","Số 16 tổ dân phố 7 phường La Khê","false"
"00000000029","000000015","2022-02-27","Cục cảnh sát quản lý về trật tự xã hội","Triệu Judith",,"1956-03-19","Quảng Trị","Ninh Bình","Hoa",,,"2019-11-18","Số 16 tổ dân phố 7 phường La Khê","false"
"00000000030","000000015","2023-01-22","Cục cảnh sát quản lý về trật tự xã hội","Thảo Lê",,"1977-10-12","Hà Nội","Hà Nội","Ê Đê",,,"2021-01-26","Số 16 tổ dân phố 7 phường La Khê","false"
"00000000031","000000016","2024-06-08","Cục cảnh sát quản lý về trật tự xã hội","Đặng Khang Vũ",,"1955-12-24","Bắc Kạn","Nghệ An","Ê Đê",,,"1993-04-13","Apt. 822 81171 Dương Ranch, Điện Biên, RI FSV 6JR","false"
"00000000032","000000017","2023-01-17","Cục cảnh sát quản lý về trật tự xã hội","Lý Vince",,"1958-05-20","Kon Tum","Khánh Hòa","Gia Rai",,,"2003-01-04","Số 18 tổ dân phố 7 phường La Khê","false"
"00000000033","000000017","2022-04-03","Cục cảnh sát quản lý về trật tự xã hội","Tú Mariann",,"1958-12-21","Đồng Nai","Nam Định","Mường",,,"2011-03-15","Số 18 tổ dân phố 7 phường La Khê","true"
"00000000034","000000017","2024-07-18","Cục cảnh sát quản lý về trật tự xã hội","Lý Hồ",,"1981-05-13","Hà Nội","Hà Nội","Gia Rai",,,"2017-11-20","Số 18 tổ dân phố 7 phường La Khê","false"
"00000000035","000000018","2022-09-28","Cục cảnh sát quản lý về trật tự xã hội","Mai Wilfred",,"1967-07-10","Phú Yên","Sóc Trăng","Tày",,,"2007-06-17","Số 19 tổ dân phố 7 phường La Khê","false"
"00000000036","000000018","2023-11-21","Cục cảnh sát quản lý về trật tự xã hội","Mai Phùng",,"1989-12-04","Hà Nội","Hà Nội","Tày",,,"2010-04-04","Số 19 tổ dân phố 7 phường La Khê","false"
"00000000037","000000019","2024-03-14","Cục cảnh sát quản lý về trật tự xã hội","Minh Denis",,"1954-04-14","TP Hải Phòng","Quảng Ninh","Kinh",,,"2018-02-07","Số 20 tổ dân phố 7 phường La Khê","false"
"00000000038","000000020","2023-01-30","Cục cảnh sát quản lý về trật tự xã hội","Đào Thảo Hiền",,"1989-03-24","TP TP. Hồ Chí Minh","Tây Ninh","Khmer",,,"2010-10-01","111 Như Bridge, Đồng Tháp, HI 5H3  3XD","false"
"00000000039","000000021","2024-02-14","Cục cảnh sát quản lý về trật tự xã hội","Vũ Trương Tuân",,"1979-02-14","Đắk Lắk","TP Cần Thơ","Tày",,,"2004-03-07","7413 Tô Shoals, Quảng Nam, ME 6V 4EU","false"
"00000000040","000000022","2024-08-11","Cục cảnh sát quản lý về trật tự xã hội","Kim Cory",,"1950-02-03","Hòa Bình","Tiền Giang","Khmer",,,"2011-10-25","Số 23 tổ dân phố 7 phường La Khê","false"
"00000000041","000000022","2022-06-17","Cục cảnh sát quản lý về trật tự xã hội","Kha Senaida",,"1950-09-18","Lạng Sơn","Hải Dương","Hoa",,,"2018-02-22","Số 23 tổ dân phố 7 phường La Khê","false"
"00000000042","000000022","2022-11-29","Cục cảnh sát quản lý về trật tự xã hội","Kim Phạm",,"1971-10-25","Hà Nội","Hà Nội","Khmer",,,"2018-04-05","Số 23 tổ dân phố 7 phường La Khê","true"
"00000000043","000000023","2022-06-30","Cục cảnh sát quản lý về trật tự xã hội","Quốc Russel",,"1967-10-26","Bắc Giang","Bến Tre","H'Mông",,,"2024-01-23","Số 24 tổ dân phố 7 phường La Khê","false"
"00000000044","000000023","2022-09-28","Cục cảnh sát quản lý về trật tự xã hội","Văn Fredda",,"1968-09-03","Đồng Nai","Hà Tây","Hoa",,,"2024-06-01","Số 24 tổ dân phố 7 phường La Khê","false"
"00000000045","000000024","2023-01-01","Cục cảnh sát quản lý về trật tự xã hội","Cường Ed",,"2000-02-04","Hà Tây","Thanh Hóa","Mường",,,"2023-07-02","Số 25 tổ dân phố 7 phường La Khê","false"
"00000000046","000000024","2022-03-06","Cục cảnh sát quản lý về trật tự xã hội","Cường Hoàng",,"2022-03-06","Hà Nội","Hà Nội","Mường",,,"2024-01-03","Số 25 tổ dân phố 7 phường La Khê","true"
"00000000047","000000024","2023-11-19","Cục cảnh sát quản lý về trật tự xã hội","Cường Đào",,"2020-05-22","Hà Nội","Hà Nội","Mường",,,"2024-11-21","Số 25 tổ dân phố 7 phường La Khê","false"
"00000000048","000000025","2023-01-11","Cục cảnh sát quản lý về trật tự xã hội","Vương Dung Văn",,"1995-10-01","Yên Bái","Thừa Thiên Huế","Dao",,,"2016-07-18","Suite 547 96903 Trương Lights, An Giang, CT 7CXN 7QL","false"
"00000000049","000000026","2023-06-18","Cục cảnh sát quản lý về trật tự xã hội","Ngô Garth",,"1987-01-14","Bắc Giang","Bắc Kạn","Thái",,,"2023-02-01","Số 27 tổ dân phố 7 phường La Khê","false"
"00000000050","000000026","2024-12-04","Cục cảnh sát quản lý về trật tự xã hội","Hữu Violette",,"1987-10-14","Long An","TP Cần Thơ","Nùng",,,"2023-10-29","Số 27 tổ dân phố 7 phường La Khê","false"
"00000000051","000000027","2023-04-06","Cục cảnh sát quản lý về trật tự xã hội","Hòa Evan",,"1981-12-02","Yên Bái","Bạc Liêu","Khmer",,,"2016-05-06","Số 28 tổ dân phố 7 phường La Khê","false"
"00000000052","000000027","2023-04-06","Cục cảnh sát quản lý về trật tự xã hội","Hòa Trịnh",,"2002-12-08","Hà Nội","Hà Nội","Khmer",,,"2021-08-16","Số 28 tổ dân phố 7 phường La Khê","false"
"00000000053","000000028","2023-12-14","Cục cảnh sát quản lý về trật tự xã hội","Khoa Lindsey",,"1963-08-08","Bình Định","Bình Phước","Mường",,,"2018-01-05","Số 29 tổ dân phố 7 phường La Khê","false"
"00000000054","000000028","2023-09-05","Cục cảnh sát quản lý về trật tự xã hội","Khoa Vương",,"1985-11-08","Hà Nội","Hà Nội","Mường",,,"2018-03-10","Số 29 tổ dân phố 7 phường La Khê","true"
"00000000055","000000028","2023-02-08","Cục cảnh sát quản lý về trật tự xã hội","Khoa Vương",,"1985-08-27","Hà Nội","Hà Nội","Mường",,,"2021-06-01","Số 29 tổ dân phố 7 phường La Khê","false"
"00000000056","000000029","2022-01-05","Cục cảnh sát quản lý về trật tự xã hội","Hoàng Karl",,"1981-05-09","Quảng Nam","Nghệ An","Kinh",,,"2022-10-25","Số 30 tổ dân phố 7 phường La Khê","false"
"00000000057","000000029","2023-09-26","Cục cảnh sát quản lý về trật tự xã hội","Hoàng Lê",,"2003-04-15","Hà Nội","Hà Nội","Kinh",,,"2024-07-31","Số 30 tổ dân phố 7 phường La Khê","false"
"00000000058","000000029","2022-09-12","Cục cảnh sát quản lý về trật tự xã hội","Hoàng Phan",,"2004-08-26","Hà Nội","Hà Nội","Kinh",,,"2024-12-13","Số 30 tổ dân phố 7 phường La Khê","false"
"00000000059","000000030","2023-05-29","Cục cảnh sát quản lý về trật tự xã hội","Nhung Anibal",,"1993-10-01","Hà Tây","Đồng Tháp","H'Mông",,,"2021-10-15","Số 31 tổ dân phố 7 phường La Khê","false"
"00000000060","000000030","2023-06-03","Cục cảnh sát quản lý về trật tự xã hội","Nhung Vương",,"2013-11-10","Hà Nội","Hà Nội","H'Mông",,,"2022-10-04","Số 31 tổ dân phố 7 phường La Khê","false"
"00000000061","000000030","2022-06-10","Cục cảnh sát quản lý về trật tự xã hội","Nhung Đinh",,"2017-08-21","Hà Nội","Hà Nội","H'Mông",,,"2023-04-21","Số 31 tổ dân phố 7 phường La Khê","false"
"00000000062","000000031","2022-05-23","Cục cảnh sát quản lý về trật tự xã hội","Hữu Grant",,"1983-05-06","TP Cần Thơ","Gia Lai","Gia Rai",,,"2023-11-20","Số 32 tổ dân phố 7 phường La Khê","false"
"00000000063","000000031","2023-11-02","Cục cảnh sát quản lý về trật tự xã hội","Sơn Yee",,"1984-02-01","Hậu Giang","Bình Phước","Tày",,,"2024-01-17","Số 32 tổ dân phố 7 phường La Khê","false"
"00000000064","000000032","2023-01-27","Cục cảnh sát quản lý về trật tự xã hội","Ngọc Josue",,"1979-09-13","Tây Ninh","Quảng Trị","Mường",,,"2023-02-20","Số 33 tổ dân phố 7 phường La Khê","false"
"00000000065","000000032","2022-02-19","Cục cảnh sát quản lý về trật tự xã hội","Lê Guadalupe",,"1980-04-09","Bình Dương","TP Cần Thơ","Hoa",,,"2024-05-13","Số 33 tổ dân phố 7 phường La Khê","false"
"00000000066","000000032","2022-10-09","Cục cảnh sát quản lý về trật tự xã hội","Ngọc Phạm",,"2001-06-03","Hà Nội","Hà Nội","Mường",,,"2024-07-30","Số 33 tổ dân phố 7 phường La Khê","false"
"00000000067","000000032","2023-12-19","Cục cảnh sát quản lý về trật tự xã hội","Ngọc Phùng",,"2002-06-23","Hà Nội","Hà Nội","Mường",,,"2024-07-31","Số 33 tổ dân phố 7 phường La Khê","false"
"00000000068","000000033","2023-03-26","Cục cảnh sát quản lý về trật tự xã hội","Triệu Tony",,"1996-08-22","Bình Phước","Đồng Nai","Nùng",,,"2006-06-18","Số 34 tổ dân phố 7 phường La Khê","false"
"00000000069","000000034","2023-09-15","Cục cảnh sát quản lý về trật tự xã hội","Nguyễn Thi",,"1993-05-01","Bình Phước","Lâm Đồng","Thái",,,"2004-12-29","Apt. 580 4197 Phong Forge, Cao Bằng, ME 6P 0LY","false"
"00000000070","000000035","2022-04-30","Cục cảnh sát quản lý về trật tự xã hội","Tô Kha Phong Ngô",,"1984-02-11","Sơn La","Tiền Giang","Khmer",,,"2017-07-12","29659 Sa Drive, Đồng Nai, TN LCRA 4XY","false"
"00000000071","000000036","2022-03-04","Cục cảnh sát quản lý về trật tự xã hội","Đỗ Tâm",,"1970-07-14","Hà Nam","Tuyên Quang","Mường",,,"1994-05-26","Suite 979 070 Trần Circles, Sơn La, DE 3E3  6FJ","false"
"00000000072","000000037","2022-05-18","Cục cảnh sát quản lý về trật tự xã hội","Lâm Hải",,"1968-02-18","Vĩnh Long","Hà Giang","H'Mông",,,"2004-01-31","302 Đoàn Station, Phú Thọ, ND 3FV 6NT","false"
"00000000073","000000038","2024-06-28","Cục cảnh sát quản lý về trật tự xã hội","Thảo Chauncey",,"1959-08-23","Bình Thuận","Lâm Đồng","H'Mông",,,"2021-04-14","Số 39 tổ dân phố 7 phường La Khê","false"
"00000000074","000000038","2024-07-22","Cục cảnh sát quản lý về trật tự xã hội","Thảo Phan",,"1981-03-20","Hà Nội","Hà Nội","H'Mông",,,"2022-05-21","Số 39 tổ dân phố 7 phường La Khê","true"
"00000000075","000000039","2023-11-18","Cục cảnh sát quản lý về trật tự xã hội","Lê Dung Thắng",,"1993-01-03","Thanh Hóa","Điện Biên","Tày",,,"2021-10-19","Suite 680 7002 Hà Mission, Đồng Tháp, ME UAT 0XX","false"
"00000000076","000000040","2023-04-12","Cục cảnh sát quản lý về trật tự xã hội","Phan Kim Minh Hà",,"1972-07-18","Bình Thuận","Hà Tây","H'Mông",,,"2012-09-26","Suite 668 62820 Đinh Lane, Phú Yên, SC YME 3WN","false"
"00000000077","000000041","2022-04-26","Cục cảnh sát quản lý về trật tự xã hội","Long Johnathan",,"1951-08-27","Phú Thọ","TP Hải Phòng","Dao",,,"2006-12-27","Số 42 tổ dân phố 7 phường La Khê","false"
"00000000078","000000041","2024-10-05","Cục cảnh sát quản lý về trật tự xã hội","Hữu Inez",,"1951-10-28","Hưng Yên","TP Hải Phòng","Thái",,,"2018-04-09","Số 42 tổ dân phố 7 phường La Khê","true"
"00000000079","000000041","2023-12-07","Cục cảnh sát quản lý về trật tự xã hội","Long Vũ",,"1972-08-06","Hà Nội","Hà Nội","Dao",,,"2021-08-11","Số 42 tổ dân phố 7 phường La Khê","false"
"00000000080","000000042","2022-06-23","Cục cảnh sát quản lý về trật tự xã hội","Long Stuart",,"1980-10-24","Lạng Sơn","Bạc Liêu","Nùng",,,"2017-12-23","Số 43 tổ dân phố 7 phường La Khê","false"
"00000000081","000000042","2023-09-09","Cục cảnh sát quản lý về trật tự xã hội","Nguyễn Reba",,"1981-07-08","Vĩnh Phúc","Hà Tĩnh","Thái",,,"2022-01-22","Số 43 tổ dân phố 7 phường La Khê","true"
"00000000082","000000042","2022-11-07","Cục cảnh sát quản lý về trật tự xã hội","Long Lê",,"2004-12-23","Hà Nội","Hà Nội","Nùng",,,"2023-07-21","Số 43 tổ dân phố 7 phường La Khê","true"
"00000000083","000000043","2022-12-17","Cục cảnh sát quản lý về trật tự xã hội","Đỗ Hữu Trung",,"1994-02-21","TP TP. Hồ Chí Minh","Hà Tĩnh","Hoa",,,"1999-10-31","Suite 751 3807 Lâm Drive, Quảng Nam, IL O3M 1FR","false"
"00000000084","000000044","2022-09-07","Cục cảnh sát quản lý về trật tự xã hội","Phan Thắm Phú",,"1954-10-14","Sóc Trăng","Tây Ninh","Kinh",,,"1980-05-25","Apt. 954 8395 Tiến Tunnel, Phú Thọ, NY 80W 6PY","false"
"00000000085","000000045","2024-07-10","Cục cảnh sát quản lý về trật tự xã hội","Phùng Justin",,"1978-03-21","Bình Định","Ninh Thuận","Mường",,,"2004-06-24","Số 46 tổ dân phố 7 phường La Khê","false"
"00000000086","000000045","2022-12-23","Cục cảnh sát quản lý về trật tự xã hội","Phùng Vương",,"1998-04-14","Hà Nội","Hà Nội","Mường",,,"2011-04-27","Số 46 tổ dân phố 7 phường La Khê","true"
"00000000087","000000046","2022-10-13","Cục cảnh sát quản lý về trật tự xã hội","Trịnh Minh Vũ Dung",,"1972-08-29","Sơn La","Tiền Giang","Ê Đê",,,"1977-02-13","Apt. 997 71007 Vương Bridge, Gia Lai, MD O6A  4TU","false"
"00000000088","000000047","2023-03-08","Cục cảnh sát quản lý về trật tự xã hội","Thị Jefferson",,"1964-03-16","Bình Thuận","Thái Nguyên","Hoa",,,"2017-07-09","Số 48 tổ dân phố 7 phường La Khê","false"
"00000000089","000000047","2022-05-26","Cục cảnh sát quản lý về trật tự xã hội","Thị Lê",,"1984-11-15","Hà Nội","Hà Nội","Hoa",,,"2023-07-30","Số 48 tổ dân phố 7 phường La Khê","false"
"00000000090","000000047","2024-05-16","Cục cảnh sát quản lý về trật tự xã hội","Thị Hà",,"1986-01-09","Hà Nội","Hà Nội","Hoa",,,"2024-02-15","Số 48 tổ dân phố 7 phường La Khê","false"
"00000000091","000000048","2023-06-20","Cục cảnh sát quản lý về trật tự xã hội","Đoàn Đoàn",,"1997-07-29","Lào Cai","Đồng Nai","Mường",,,"2009-10-18","Apt. 306 967 Mai Forest, An Giang, MS GU  9GG","false"
"00000000092","000000049","2024-09-14","Cục cảnh sát quản lý về trật tự xã hội","Triệu Quincy",,"1975-09-13","Quảng Ngãi","Bắc Ninh","Kinh",,,"1998-06-07","Số 50 tổ dân phố 7 phường La Khê","false"
"00000000093","000000050","2023-07-01","Cục cảnh sát quản lý về trật tự xã hội","Vương Lâm Thanh",,"1973-02-27","Đắk Lắk","Vĩnh Long","Tày",,,"1983-03-24","18630 Long Manors, Lào Cai, KY KAV  4FJ","false"
"00000000094","000000051","2024-01-05","Cục cảnh sát quản lý về trật tự xã hội","Cường Clyde",,"1976-08-31","Lâm Đồng","Bình Thuận","Ê Đê",,,"2022-04-28","Số 52 tổ dân phố 7 phường La Khê","false"
"00000000095","000000051","2024-03-08","Cục cảnh sát quản lý về trật tự xã hội","Cường Hà",,"1998-08-26","Hà Nội","Hà Nội","Ê Đê",,,"2022-08-10","Số 52 tổ dân phố 7 phường La Khê","true"
"00000000096","000000052","2024-04-26","Cục cảnh sát quản lý về trật tự xã hội","Đào Thủy Trần",,"1987-12-24","Hà Tây","Lào Cai","Hoa",,,"2016-01-19","02369 Sơn Ports, Bình Phước, WI T14  9SD","false"
"00000000097","000000053","2022-07-14","Cục cảnh sát quản lý về trật tự xã hội","Phạm Minh Hòa Phùng",,"1966-10-24","Đắk Nông","TP Đà Nẵng","Hoa",,,"1969-02-28","60534 Vũ Prairie, Cà Mau, ME 8V99 4BP","false"
"00000000098","000000054","2024-08-18","Cục cảnh sát quản lý về trật tự xã hội","Đinh Hồ",,"1960-03-02","Phú Yên","Yên Bái","Ê Đê",,,"2018-09-28","Apt. 558 73659 Trương Harbors, Quảng Ninh, OK OVA  2YU","false"
"00000000099","000000055","2023-09-22","Cục cảnh sát quản lý về trật tự xã hội","Ngọc Gordon",,"1977-09-19","Nam Định","Hậu Giang","Gia Rai",,,"1981-04-04","Số 56 tổ dân phố 7 phường La Khê","false"
"00000000100","000000055","2022-05-31","Cục cảnh sát quản lý về trật tự xã hội","Đức Mathilde",,"1978-01-27","Bắc Ninh","Thừa Thiên Huế","H'Mông",,,"2023-03-20","Số 56 tổ dân phố 7 phường La Khê","false"
"00000000101","000000056","2022-12-22","Cục cảnh sát quản lý về trật tự xã hội","Hà Như Hòa",,"1978-02-21","Cà Mau","Phú Yên","Mường",,,"2008-05-27","4474 Đoàn Ville, Kon Tum, DE FU  7DY","false"
"00000000102","000000057","2024-09-17","Cục cảnh sát quản lý về trật tự xã hội","Lâm Lý Minh",,"1995-01-15","Lạng Sơn","Kon Tum","Khmer",,,"2018-11-29","264 Lê Place, Khánh Hòa, OR 3PX  5RY","false"
"00000000103","000000058","2022-07-30","Cục cảnh sát quản lý về trật tự xã hội","Đặng Dương Đoàn Nhân",,"1994-03-25","Lạng Sơn","Tiền Giang","Dao",,,"2023-04-17","Apt. 904 9416 Đặng Island, Đồng Nai, VT 10Y 1HB","false"
"00000000104","000000059","2022-03-16","Cục cảnh sát quản lý về trật tự xã hội","Bửu Walton",,"1952-03-28","Tây Ninh","Thái Nguyên","H'Mông",,,"2024-05-16","Số 60 tổ dân phố 7 phường La Khê","false"
"00000000105","000000059","2024-01-23","Cục cảnh sát quản lý về trật tự xã hội","Bửu Trần",,"1975-08-17","Hà Nội","Hà Nội","H'Mông",,,"2024-10-14","Số 60 tổ dân phố 7 phường La Khê","false"
"00000000106","000000059","2024-10-17","Cục cảnh sát quản lý về trật tự xã hội","Bửu Đặng",,"1974-10-03","Hà Nội","Hà Nội","H'Mông",,,"2024-11-30","Số 60 tổ dân phố 7 phường La Khê","false"
"00000000107","000000060","2023-06-25","Cục cảnh sát quản lý về trật tự xã hội","Trương Nicholas",,"1987-12-02","Bắc Giang","Nam Định","Ê Đê",,,"2005-08-22","Số 61 tổ dân phố 7 phường La Khê","false"
"00000000108","000000060","2023-12-27","Cục cảnh sát quản lý về trật tự xã hội","Trương Vũ",,"2008-01-01","Hà Nội","Hà Nội","Ê Đê",,,"2021-05-20","Số 61 tổ dân phố 7 phường La Khê","false"
"00000000109","000000060","2023-12-22","Cục cảnh sát quản lý về trật tự xã hội","Trương Vũ",,"2011-03-31","Hà Nội","Hà Nội","Ê Đê",,,"2022-06-14","Số 61 tổ dân phố 7 phường La Khê","false"
"00000000110","000000061","2023-09-23","Cục cảnh sát quản lý về trật tự xã hội","Trương Trương",,"1960-09-02","Hà Giang","Bắc Giang","Hoa",,,"1977-11-20","Apt. 820 169 Đào Flat, Hậu Giang, CA F88  1GP","false"
"00000000111","000000062","2023-08-22","Cục cảnh sát quản lý về trật tự xã hội","Đoàn Khang",,"1980-02-16","Gia Lai","Hà Tây","Gia Rai",,,"1980-04-15","0467 Ngọc Terrace, Hà Tây, AL NV7  6AH","false"
"00000000112","000000063","2024-01-27","Cục cảnh sát quản lý về trật tự xã hội","Đỗ Thắng",,"1958-10-17","Hậu Giang","Hà Tĩnh","Nùng",,,"1964-10-03","008 Phùng Plains, Sơn La, WV M1P 4BS","false"
"00000000113","000000064","2023-07-31","Cục cảnh sát quản lý về trật tự xã hội","Bùi Mitchel",,"2000-08-06","Đắk Lắk","Thanh Hóa","Mường",,,"2016-09-30","Số 65 tổ dân phố 7 phường La Khê","false"
"00000000114","000000065","2023-05-04","Cục cảnh sát quản lý về trật tự xã hội","Thảo Tony",,"1965-12-25","Tiền Giang","Bà Rịa Vũng Tàu","Tày",,,"2005-06-06","Số 66 tổ dân phố 7 phường La Khê","false"
"00000000115","000000065","2023-04-06","Cục cảnh sát quản lý về trật tự xã hội","Thảo Phạm",,"1987-01-31","Hà Nội","Hà Nội","Tày",,,"2017-11-16","Số 66 tổ dân phố 7 phường La Khê","false"
"00000000116","000000066","2023-09-07","Cục cảnh sát quản lý về trật tự xã hội","Lê Trung",,"1954-08-18","TP Đà Nẵng","Tây Ninh","Khmer",,,"1986-08-10","Suite 272 67590 Sinh Divide, Quảng Nam, NJ N85  1PO","false"
